Metric Name,Title,Value,extraction_datetime,extraction_date,extraction_year,extraction_month,extraction_day,extraction_time
views,Views,4690,2025-04-11 11:03:03.329758,2025-04-11,2025,April,11,11:03:03
follows_and_unfollows,Follows and unfollows,0,2025-04-11 11:03:03.329758,2025-04-11,2025,April,11,11:03:03
profile_links_taps,Profile links taps,0,2025-04-11 11:03:03.329758,2025-04-11,2025,April,11,11:03:03
reach,Accounts reached,3269,2025-04-12 11:02:51.894052,2025-04-12,2025,April,12,11:02:51
website_clicks,Website link taps,1,2025-04-12 11:02:51.894052,2025-04-12,2025,April,12,11:02:51
profile_views,Profile visits,89,2025-04-12 11:02:51.894052,2025-04-12,2025,April,12,11:02:51
total_interactions,Content interactions,370,2025-04-12 11:02:51.894052,2025-04-12,2025,April,12,11:02:51
likes,Likes,311,2025-04-12 11:02:51.894052,2025-04-12,2025,April,12,11:02:51
comments,Comments,20,2025-04-12 11:02:51.894052,2025-04-12,2025,April,12,11:02:51
shares,Shares,16,2025-04-12 11:02:51.894052,2025-04-12,2025,April,12,11:02:51
saves,Saves,23,2025-04-12 11:02:51.894052,2025-04-12,2025,April,12,11:02:51
replies,Replies,0,2025-04-12 11:02:51.894052,2025-04-12,2025,April,12,11:02:51
views,Views,5016,2025-04-12 11:02:51.894052,2025-04-12,2025,April,12,11:02:51
follows_and_unfollows,Follows and unfollows,0,2025-04-12 11:02:51.894052,2025-04-12,2025,April,12,11:02:51
profile_links_taps,Profile links taps,0,2025-04-12 11:02:51.894052,2025-04-12,2025,April,12,11:02:51
reach,Accounts reached,5307,2025-04-13 11:02:19.257,2025-04-13,2025,April,13,11:02:19
website_clicks,Website link taps,2,2025-04-13 11:02:19.257,2025-04-13,2025,April,13,11:02:19
profile_views,Profile visits,106,2025-04-13 11:02:19.257,2025-04-13,2025,April,13,11:02:19
total_interactions,Content interactions,410,2025-04-13 11:02:19.257,2025-04-13,2025,April,13,11:02:19
likes,Likes,335,2025-04-13 11:02:19.257,2025-04-13,2025,April,13,11:02:19
comments,Comments,38,2025-04-13 11:02:19.257,2025-04-13,2025,April,13,11:02:19
shares,Shares,8,2025-04-13 11:02:19.257,2025-04-13,2025,April,13,11:02:19
saves,Saves,27,2025-04-13 11:02:19.257,2025-04-13,2025,April,13,11:02:19
replies,Replies,2,2025-04-13 11:02:19.257,2025-04-13,2025,April,13,11:02:19
views,Views,7334,2025-04-13 11:02:19.257,2025-04-13,2025,April,13,11:02:19
follows_and_unfollows,Follows and unfollows,0,2025-04-13 11:02:19.257,2025-04-13,2025,April,13,11:02:19
profile_links_taps,Profile links taps,0,2025-04-13 11:02:19.257,2025-04-13,2025,April,13,11:02:19
reach,Accounts reached,2556,2025-04-14 11:02:46.951654,2025-04-14,2025,April,14,11:02:46
website_clicks,Website link taps,3,2025-04-14 11:02:46.951654,2025-04-14,2025,April,14,11:02:46
profile_views,Profile visits,88,2025-04-14 11:02:46.951654,2025-04-14,2025,April,14,11:02:46
total_interactions,Content interactions,318,2025-04-14 11:02:46.951654,2025-04-14,2025,April,14,11:02:46
likes,Likes,274,2025-04-14 11:02:46.951654,2025-04-14,2025,April,14,11:02:46
comments,Comments,17,2025-04-14 11:02:46.951654,2025-04-14,2025,April,14,11:02:46
shares,Shares,7,2025-04-14 11:02:46.951654,2025-04-14,2025,April,14,11:02:46
saves,Saves,19,2025-04-14 11:02:46.951654,2025-04-14,2025,April,14,11:02:46
replies,Replies,1,2025-04-14 11:02:46.951654,2025-04-14,2025,April,14,11:02:46
views,Views,4367,2025-04-14 11:02:46.951654,2025-04-14,2025,April,14,11:02:46
follows_and_unfollows,Follows and unfollows,0,2025-04-14 11:02:46.951654,2025-04-14,2025,April,14,11:02:46
profile_links_taps,Profile links taps,0,2025-04-14 11:02:46.951654,2025-04-14,2025,April,14,11:02:46
reach,Accounts reached,1818,2025-04-15 11:02:18.850611,2025-04-15,2025,April,15,11:02:18
website_clicks,Website link taps,1,2025-04-15 11:02:18.850611,2025-04-15,2025,April,15,11:02:18
profile_views,Profile visits,77,2025-04-15 11:02:18.850611,2025-04-15,2025,April,15,11:02:18
total_interactions,Content interactions,305,2025-04-15 11:02:18.850611,2025-04-15,2025,April,15,11:02:18
likes,Likes,245,2025-04-15 11:02:18.850611,2025-04-15,2025,April,15,11:02:18
comments,Comments,27,2025-04-15 11:02:18.850611,2025-04-15,2025,April,15,11:02:18
shares,Shares,5,2025-04-15 11:02:18.850611,2025-04-15,2025,April,15,11:02:18
saves,Saves,28,2025-04-15 11:02:18.850611,2025-04-15,2025,April,15,11:02:18
replies,Replies,0,2025-04-15 11:02:18.850611,2025-04-15,2025,April,15,11:02:18
views,Views,3270,2025-04-15 11:02:18.850611,2025-04-15,2025,April,15,11:02:18
follows_and_unfollows,Follows and unfollows,0,2025-04-15 11:02:18.850611,2025-04-15,2025,April,15,11:02:18
profile_links_taps,Profile links taps,0,2025-04-15 11:02:18.850611,2025-04-15,2025,April,15,11:02:18
reach,Accounts reached,1588,2025-04-16 11:02:29.352204,2025-04-16,2025,April,16,11:02:29
website_clicks,Website link taps,1,2025-04-16 11:02:29.352204,2025-04-16,2025,April,16,11:02:29
profile_views,Profile visits,93,2025-04-16 11:02:29.352204,2025-04-16,2025,April,16,11:02:29
total_interactions,Content interactions,271,2025-04-16 11:02:29.352204,2025-04-16,2025,April,16,11:02:29
likes,Likes,231,2025-04-16 11:02:29.352204,2025-04-16,2025,April,16,11:02:29
comments,Comments,16,2025-04-16 11:02:29.352204,2025-04-16,2025,April,16,11:02:29
shares,Shares,10,2025-04-16 11:02:29.352204,2025-04-16,2025,April,16,11:02:29
saves,Saves,10,2025-04-16 11:02:29.352204,2025-04-16,2025,April,16,11:02:29
replies,Replies,4,2025-04-16 11:02:29.352204,2025-04-16,2025,April,16,11:02:29
views,Views,3408,2025-04-16 11:02:29.352204,2025-04-16,2025,April,16,11:02:29
follows_and_unfollows,Follows and unfollows,0,2025-04-16 11:02:29.352204,2025-04-16,2025,April,16,11:02:29
profile_links_taps,Profile links taps,0,2025-04-16 11:02:29.352204,2025-04-16,2025,April,16,11:02:29
reach,Accounts reached,2038,2025-04-17 11:03:16.363294,2025-04-17,2025,April,17,11:03:16
website_clicks,Website link taps,2,2025-04-17 11:03:16.363294,2025-04-17,2025,April,17,11:03:16
profile_views,Profile visits,109,2025-04-17 11:03:16.363294,2025-04-17,2025,April,17,11:03:16
total_interactions,Content interactions,330,2025-04-17 11:03:16.363294,2025-04-17,2025,April,17,11:03:16
likes,Likes,272,2025-04-17 11:03:16.363294,2025-04-17,2025,April,17,11:03:16
comments,Comments,30,2025-04-17 11:03:16.363294,2025-04-17,2025,April,17,11:03:16
shares,Shares,11,2025-04-17 11:03:16.363294,2025-04-17,2025,April,17,11:03:16
saves,Saves,14,2025-04-17 11:03:16.363294,2025-04-17,2025,April,17,11:03:16
replies,Replies,3,2025-04-17 11:03:16.363294,2025-04-17,2025,April,17,11:03:16
views,Views,3896,2025-04-17 11:03:16.363294,2025-04-17,2025,April,17,11:03:16
follows_and_unfollows,Follows and unfollows,0,2025-04-17 11:03:16.363294,2025-04-17,2025,April,17,11:03:16
profile_links_taps,Profile links taps,0,2025-04-17 11:03:16.363294,2025-04-17,2025,April,17,11:03:16
