"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Reach,Likes,Shares,Comments,Saves,Follows
17997066500193277,17841461458191255,locwithaush,"Aushanae Haller","Reminiscing on the @locmeetup last week 😭💕
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"10/12/2023 10:00",https://www.instagram.com/p/CyTm5_LuNga/,"IG carousel",,Lifetime,2202,111,4,5,5,1
17863392749980737,17841461458191255,locwithaush,"Aushanae Haller","I can’t believe it’s almost time for another retwist yall …  like the longer I have locs the less time I notice pass in between retwists 👀 anyone else experience that early in their loc journey? 🤔
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"10/14/2023 10:00",https://www.instagram.com/p/CyYwb-pOKMT/,"IG image",,Lifetime,2385,114,1,7,4,4
18001235957147332,17841461458191255,locwithaush,"Aushanae Haller","Some frizz this #texturetuesday 💕Comment “Frizz” below if you like a little frizz to your locs ‼️🥰 Day 84
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"10/17/2023 10:00",https://www.instagram.com/p/Cyge4WdOjsZ/,"IG image",,Lifetime,3250,224,10,19,7,16
17975471897396019,17841461458191255,locwithaush,"Aushanae Haller","I swear my locs in the front are taking the longest to start losing it’s pattern 😭 can’t wait for them to start frizzing up like the back 🫶🏽 Day 90 💕
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"10/19/2023 10:00",https://www.instagram.com/p/CylocgiOYWZ/,"IG carousel",,Lifetime,3795,319,5,12,20,17
17997307316270000,17841461458191255,locwithaush,"Aushanae Haller","Today marks 3 months locd 🔐‼️ Fresh Rewtist 😍
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",10,"10/20/2023 15:17",https://www.instagram.com/reel/CyoxPFpODbc/,"IG reel",,Lifetime,1161,92,5,2,1,2
17927228612688611,17841461458191255,locwithaush,"Aushanae Haller","3 months locd 🔐 yesterday ‼️
Scroll down for loc journey updates 💕🫶🏽
•
•
•
I retwisted my hair for the 3rd time and it was significantly easier yall 😭 I had more new growth to work with, so the tension required to keep my clips in place was hardly any at all! If you look closely you can still see a clip I missed but these pictures were too bomb to not post 😍.

I also combined 2 locs! There were two locs in the back that were relatively small compared to the rest of my locs and they weren’t doing so well on their own. So I used a loc crochet hook to combine them close to the root and I’m allowing the rest to do its thing!

And this retwist I learned how to locksmith 😭🙌🏽 so the budding is a little bit more controlled than the last retwist, so happy about this new skill ☺️
•
•
•

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"10/21/2023 10:05",https://www.instagram.com/p/Cyr9jSgOBs2/,"IG carousel",,Lifetime,15171,1313,49,31,119,82
17862256740023131,17841461458191255,locwithaush,"Aushanae Haller","I know y’all love a good growth post ‼️
She’s getting longer and thicker 😍 3 months downnnnn 💕
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"10/23/2023 10:00",https://www.instagram.com/p/Cyv7m1OuQaD/,"IG image",,Lifetime,6426,331,10,1,24,9
18043223878539911,17841461458191255,locwithaush,"Aushanae Haller","Happy texture tuesday ☺️💕
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"10/24/2023 10:00",https://www.instagram.com/p/Cyygcq-uY-g/,"IG carousel",,Lifetime,3732,215,4,5,13,6
18048942469507171,17841461458191255,locwithaush,"Aushanae Haller","Day 94 💕 Couple days Post-Retwist… I’m almost getting to the point where these locs on my forehead are going to annoy me getting into my eye! I can see them when I look up and that’s already irking me. I’m real quick to put my hair out of the way of view 😭
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"10/26/2023 10:00",https://www.instagram.com/p/Cy3qAiDurw3/,"IG carousel",,Lifetime,3345,237,7,9,10,7
17974281443430416,17841461458191255,locwithaush,"Aushanae Haller","For my monthly progress this 3rd month, I wanted to switch it up and only do my baybang locs in the front 🥺🫶🏽. They were getting rough there 👀, but you gotta #trusttheprocess 💕
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #thicklocs #loccommunity #naturalhair #explorepage",0,"10/28/2023 10:00",https://www.instagram.com/p/Cy8zj5IO-fo/,"IG image",,Lifetime,4010,301,8,5,22,13
18241946158171519,17841461458191255,locwithaush,"Aushanae Haller","Happy #texturetuesday & 100 Days Loc’d to me🥳‼️
•
•
•
We’re about a week post retwist so it’s time for a wash. Retwists are fun while it lasts but my scalp needs to be cleansed weekly ‼️ All of the budding close to the root that is red is pretty thick & solid. A tiny bit of the new growth in black is starting to bud a bit. And the rest of the loc is still slowly losing that twist pattern. We’re getting into the teenage stage, I can officially not control the direction of my locs 😭 love them though truly 💕
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"10/31/2023 10:00",https://www.instagram.com/p/CzB9N3zuMbG/,"IG carousel",,Lifetime,10159,724,17,7,64,34
17959228418505686,17841461458191255,locwithaush,"Aushanae Haller","Started my loc journey 07•20•2023 🥹 I plan to be as detailed as possible as I take note of the journey ahead 💕🫶🏽 This was such an important & necessary step in my growth and development as an individual learning to unapologetically be themselves. 
•
•
This is for the little black girl who wished their hair was pretty. If that resonates with you, I invite you to join me in discovering the beauty that was there all along ✨
•
•
•
#locs #locjourney #starterlocs #locstyles  #locsforlife #locnation #locd #4chair #4cnaturalhair #naturalhair",0,"08/22/2023 15:28",https://www.instagram.com/p/CwQ36GwMlsE/,"IG image",,Lifetime,6056,302,7,20,18,
18012297496698159,17841461458191255,locwithaush,"Aushanae Haller","This was about 3 1/2 weeks in 💕 a few days before my first retwist ‼️ The shrinkage didn’t hesitate to come thru but I’m honestly used to shrinkage! Loved the frizziness and honestly hope to keep it frizzy ☺️
•
•
•
#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #4chair",0,"08/23/2023 08:46",https://www.instagram.com/p/CwSuuI4gJtH/,"IG image",,Lifetime,2556,101,2,6,3,
17977036910288424,17841461458191255,locwithaush,"Aushanae Haller","This was Day 2, the first day I wore them out after putting them in 💕 missing the red color 🥺
•
•
•

#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",0,"08/25/2023 17:50",https://www.instagram.com/p/CwY2i39M8yn/,"IG image",,Lifetime,2115,108,0,7,3,
18007809379907900,17841461458191255,locwithaush,"Aushanae Haller","08/26/23 .. 1 month and 6 days 🫶🏽 a couple days post retwist! Look at the budding up top 🥹
•
•
•
I used the Loc N Gel and kept it clipped for maybe 4 hours. Didn’t use a hair dryer cause I didn’t want to dry out my scalp and cause itchiness. Some of them have already untwisted 💀 my hair doesn’t like being styled in any capacity 🤷🏽‍♀️
•
•

#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",0,"08/27/2023 08:20",https://www.instagram.com/p/Cwc-10NO276/,"IG carousel",,Lifetime,1925,115,6,8,3,
18041466685503031,17841461458191255,locwithaush,"Aushanae Haller","I heard it was #texturetuesday 👀
•
•
1 month and 9 days in 🫶🏽💕, 9 days post retwist… they’ve grown so much already ‼️
•
•

#locjourney #locs #locstyles #locnation #starterlocs #womenwithlocs #loclivin #naturalhair #loclife #locstylesforwomen #loclove #locd #loccommunity #naturalhairstyles #teamlocs #dreadlocs #locextensions",0,"08/29/2023 14:42",https://www.instagram.com/p/Cwi0N8XOTSJ/,"IG carousel",,Lifetime,2066,169,1,29,5,
